"","portfolio.return","nasdaq.return"
"1",0.0504404221213495,0.0265320771309281
"2",0.0134623521437958,0.00258097110410649
"3",0.0350437933171079,0.0292523862731782
"4",-0.0240976392047235,0.0243907630849791
"5",0.0329536442092744,0.0326656138309369
"6",-0.0126483902401772,-0.0242004722043357
"7",0.106477539602553,0.0620669507836129
"8",-0.0427372021546465,-0.00530064494416205
"9",0.0379832468185426,0.0469742762239695
"10",0.0280088042998525,0.0495711888633399
"11",0.00596797013791761,0.0325928952284522
"12",0.0415153104169628,0.0298696607049675
